"Ad name","Delivery status","Delivery level","Ad set name","Ad name","Attribution setting","Amount spent (PLN)",Purchases,"Purchases conversion value","Cost per purchase","Koszulkowy Contribution Profit (7 Days Attribution) (PLN)","Result value type","Results ROAS","Average purchases conversion value","Purchases rate per link clicks","Purchases rate per landing page views","Checkouts initiated","Checkouts initiated conversion value","Cost per checkout initiated","Adds to cart","Adds to cart conversion value","Cost per add to cart","Landing page views","App landing page views","Website landing page views","Cost per landing page view","Landing Page Views / Outbound Clicks Rate","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Hook Rate","Hold Rate","CPM (cost per 1,000 impressions)","Quality ranking","Engagement rate ranking","Conversion rate ranking","Link (ad settings)","Body (ad settings)","Reporting starts","Reporting ends"
"Ranczo Karuzela Baner - Copy",not_delivering,ad,"CKW Wilkowyje Ranczo","Ranczo Karuzela Baner - Copy","7-day click or 1-day view",6006.53,217,20519.16,27.67986175,2551.46112195,"Website purchases conversion value",3.4161421,94.55834101,1.70731707,2.20282205,1000,96863.23,6.00653,824,42774.89,7.28947816,9851,,9851,0.6097381,0.78927971,12710,0.47258301,0.73115395,7.48E-6,0.23076923,3.45530929,"Above average","Above average","Above average",https://koszulkowy.pl/1069-koszulki-i-gadzety-dla-fanow-serialu-ranczo,"🎊 Dni Wilkowyj – czas na zakupy! 🎊 Czekają na Ciebie wielkie Rabaty i Promocje – tylko przez chwilę!  https://koszulkowy.pl/1069-koszulki-i-gadzety-dla-fanow-serialu-ranczo 🎁",2026-01-01,2026-01-31
"DPA Bestsellery – kopia",inactive,ad,"DPA CKW Bestsellery","DPA Bestsellery – kopia","7-day click, 1-day view or 1-day engaged view",2694.35,78,7683.48,34.54294872,510.22336585,"Website purchases conversion value",2.85170078,98.50615385,1.05121294,1.50433944,400,40239.18,6.735875,331,19261.58,8.14003021,5185,,5185,0.5196432,1.00620997,7420,0.36311995,1.20171479,0,,4.3636661,-,-,-,http://koszulkowy.pl/,"Zobacz jakie prezenty możesz dać najbliższym. Sprawdź nasze bestsellerowe propozycje 😎 👉 https://koszulkowy.pl/",2026-01-01,2026-01-31
"67 kask 37880",inactive,ad,"Six seven - 67","67 kask 37880","7-day click, 1-day view or 1-day engaged view",2192.11,75,8309.58,29.22813333,1273.59287805,"Website purchases conversion value",3.79067656,110.7944,2.49500998,2.88018433,433,43610.24,5.0626097,312,19575.38,7.02599359,2604,,2604,0.84182412,0.86915888,3006,0.72924484,1.05623781,0,,7.70255978,"Above average",-,-,https://koszulkowy.pl/37880-six-seven-67-.html,"Six Seven 67 - dziecięca koszulka na prezent - inspirowane Roblox. Doskonały wybór dla małych fanów kreatywności i przygód w świecie Roblox! 🎮 Zobacz więcej ➡️ https://koszulkowy.pl/37880-six-seven-67-.html",2026-01-01,2026-01-31
"Traktor Dziadek 12437",inactive,ad,"Dziadek (Różne)","Traktor Dziadek 12437","7-day click, 1-day view or 1-day engaged view",2024.66,72,9016.6,28.12027778,1735.92195122,"Website purchases conversion value",4.4533897,125.23055556,2.69461078,3.07298335,374,46605.34,5.41352941,307,20600.79,6.59498371,2343,,2343,0.86413146,0.87719955,2672,0.75773204,0.81644127,0,,6.18643705,"Above average",Average,"Above average",https://koszulkowy.pl/12437-dziadek-traktor.html,"Najlepszy dziadek jeździ traktorem 🚜💚
Szukasz prezentu na Dzień Dziadka? Ta koszulka będzie idealna! 😊 
Kup teraz ✅ https://koszulkowy.pl/12437-dziadek-traktor.html",2026-01-01,2026-01-31
"DPA Babcia i Dziadek",inactive,ad,"DPA CKW Babcia i Dziadek","DPA Babcia i Dziadek","7-day click, 1-day view or 1-day engaged view",1691.44,41,4696.7,41.25463415,267.42756098,"Website purchases conversion value",2.77674644,114.55365854,1.84435448,2.50764526,232,26023.02,7.29068966,183,12057.97,9.24284153,1635,,1635,1.03451988,0.93857635,2223,0.76088169,1.20191398,5.41E-6,0,9.14514341,-,-,-,https://koszulkowy.pl/529-prezent-dla-babci,"Zobacz jakie prezenty możesz dać najbliższym. Sprawdź nasze bestsellerowe propozycje dla babci i dziadka 🎁
👉 https://koszulkowy.pl/529-prezent-dla-babci
👉 https://koszulkowy.pl/773-prezent-dla-dziadka",2026-01-01,2026-01-31
"Traktor Dziadek 12437",inactive,ad,"CKW Babcia i dziadek","Traktor Dziadek 12437","7-day click or 1-day view",1440.43,40,5557.5,36.01075,877.45414634,"Website purchases conversion value",3.85822289,138.9375,2.11864407,2.3364486,234,35805.79,6.15568376,243,16173.29,5.92769547,1712,,1712,0.84137266,0.90774125,1888,0.76293962,0.98147262,0,,7.4880435,Average,Average,"Above average",https://koszulkowy.pl/12437-dziadek-traktor.html,"Najlepszy dziadek jeździ traktorem 🚜💚
Szukasz prezentu na Dzień Dziadka? Ta koszulka będzie idealna! 😊 
Kup teraz ✅ https://koszulkowy.pl/12437-dziadek-traktor.html",2026-01-01,2026-01-31
"LINK - Mag Kub Kochanie 3624 10k",inactive,ad,"F0 - głównie kubek kochnie 3642","LINK - Mag Kub Kochanie 3624 10k","7-day click or 1-day view",1349.87,25,2227.1,53.9948,-421.00634146,"Website purchases conversion value",1.64986258,89.084,1.14942529,1.7088175,216,17945.23,6.24939815,154,8516.82,8.76538961,1463,,1463,0.92267259,0.78361007,2175,0.62062989,1.06241635,0.19190903,0.1918652,6.59367337,"Above average",Average,"Above average",https://koszulkowy.pl/3624-kochanie.html,"Kubek dla kogoś wyjątkowego 💖
➡ https://koszulkowy.pl/3624-kochanie.html",2026-01-01,2026-01-31
"CKW F0 z Bestami - 6",inactive,ad,"CKW F0 z Bestami","CKW F0 z Bestami - 6","7-day click, 1-day view or 1-day engaged view",1237.51,33,3036.11,37.50030303,28.77002439,"Website purchases conversion value",2.4534024,92.00333333,1.31947221,1.5130674,198,19173.39,6.25005051,159,9697.69,7.78308176,2181,,2181,0.56740486,0.88192479,2501,0.49480608,1.77109594,0,,8.76349035,Average,"Above average","Above average",http://koszulkowy.pl/,"🚨 Halo halo, koszulkowi wyjadacze! 👕
👉 Zobacz co nowego na Koszulkowy.pl  – może właśnie czeka tam Twoja kolejna ulubiona koszulka 🔥⭐

U nas nie ma nudy – regularnie dodajemy świeże wzory i nowe produkty! Jeszcze śmieszniejsze, jeszcze bardziej niszowe i jeszcze bardziej „TO JEST TO!” 😎",2026-01-01,2026-01-31
"DPA CKW Roblox i Minecraft",inactive,ad,"DPA CKW Roblox i Minecraft","DPA CKW Roblox i Minecraft","7-day click, 1-day view or 1-day engaged view",1016.95,30,3294.5,33.89833333,357.09756098,"Website purchases conversion value",3.23958897,109.81666667,3.01507538,5.08474576,155,17097.56,6.56096774,108,7514.65,9.4162037,590,,590,1.72364407,1.11954459,995,1.0220603,0.59108326,0,,6.04122731,Average,Average,"Above average",https://koszulkowy.pl/614-prezent-dla-gracza,"Idealny prezent dla młodego gracza 👉 https://koszulkowy.pl/614-prezent-dla-gracza 👕 Zamów koszulkę, bluzę z kapturem, magiczny kubek lub inny gadżet na prezent dla najmłodszych 🤩✨ Sprawdź całą ofertę 🎁",2026-01-01,2026-01-31
"CKW F0 z Bestami - 5",inactive,ad,"5.Pragmatyczny Śmieszek_100_42_PL","CKW F0 z Bestami - 5","7-day click, 1-day view or 1-day engaged view",723.54,19,1716.4,38.08105263,-7.67560976,"Website purchases conversion value",2.37222545,90.33684211,0.97887687,1.18453865,113,13135.28,6.40300885,90,5537.5,8.03933333,1604,,1604,0.45108479,0.83498178,1941,0.37276662,1.6273318,8.38E-6,0,6.06614965,Average,"Above average",Average,http://koszulkowy.pl/,"➡️ https://koszulkowy.pl/
Zamów teraz z kodem rabatowym 🎁",2026-01-01,2026-01-31
